AccelerationX;AccelerationY;AccelerationZ
-0.896973;-0.050781;0.400879
-0.820801;-0.070312;0.363281
-0.789551;-0.074707;0.305664
-0.901367;0.017578;0.492187
-0.889160;0.019531;0.506836
-0.854004;0.016602;0.403809
-0.847656;0.033203;0.393555
-0.845703;0.041504;0.398926
-0.854981;-0.012207;0.383789
-0.853027;0.002441;0.410156
-0.857910;0.031738;0.383301
-0.844727;0.032715;0.380371
-0.841309;0.082031;0.381836
-0.845215;0.100586;0.385254
-0.848633;0.151855;0.369141
-0.822754;0.156250;0.367188
-0.829590;0.179199;0.379395
-0.800293;0.187500;0.379883
-0.845703;0.161621;0.388672
-0.841797;0.199707;0.386230
-0.814453;0.244141;0.403320
-0.780273;0.297363;0.404297
-0.757324;0.375000;0.334473
-0.836426;0.400879;0.381836
-0.756836;0.427246;0.388672
-0.703613;0.495605;0.386230
-0.652832;0.517578;0.429199
-0.636719;0.530273;0.414062
-0.634277;0.640625;0.507812
-0.675781;0.630859;0.427246
-0.519531;0.706543;0.420898
-0.407227;0.743164;0.383301
-0.435547;0.782227;0.495605
-0.402344;0.771484;0.502441
-0.382324;0.758789;0.530762
-0.259277;0.857422;0.515625
-0.262207;0.881836;0.335449
-0.311035;0.882812;0.574219
-0.157715;0.985352;0.286621
-0.161133;0.956543;0.541992
-0.138672;0.675293;0.488770
-0.106934;0.739258;0.580078
0.078613;0.601074;0.401855
0.170898;0.714355;0.704102
-0.193359;0.754395;0.831543
-0.146484;0.636719;0.562988
-0.176758;0.622070;0.347168
-0.412109;0.921875;0.507812
-0.187988;0.801270;0.619629
-0.344238;0.597656;0.601562
-0.469727;0.660645;0.477051
-0.623535;0.473633;0.447754
-0.565918;0.816895;0.333496
-0.680664;0.799805;0.458984
-0.811035;0.820801;0.347168
0.177246;0.749512;0.066406
-0.593262;0.221680;0.316895
-0.829102;1.155762;0.139648
-0.723633;0.877441;0.078125
-0.797363;0.951660;-0.004395
-0.612305;0.696289;0.121094
-0.646973;0.677246;0.099609
-0.663574;0.470215;0.121582
-0.412109;0.720215;0.100098
-0.622559;0.788574;0.120605
-0.675781;0.734375;0.042480
-0.683105;0.655273;-0.018066
-0.685547;0.703125;0.025879
-0.708496;0.723145;-0.034180
-0.673340;0.690430;-0.048340
-0.617676;0.678711;0.067383
-0.647461;0.708008;0.006348
-0.612305;0.596191;0.142578
-0.696777;0.683105;0.077637
-0.705566;0.648926;0.094238
-0.663574;0.630859;0.020996
-0.708496;0.653320;-0.014160
-0.718750;0.627930;0.020996
-0.726562;0.618652;-0.001953
-0.735352;0.635254;0.017090
-0.675293;0.622070;-0.024902
-0.726074;0.649902;0.005859
-0.684570;0.591797;0.027832
-0.721680;0.647949;0.013184
-0.708008;0.652344;-0.011719
-0.708496;0.669434;-0.007813
-0.727051;0.683105;-0.002441
-0.703613;0.665527;-0.029785
-0.680176;0.668457;-0.125977
-0.650879;0.637695;-0.195801
-0.816406;0.701660;0.006836
-0.705078;0.624023;-0.116211
-0.764160;0.590820;-0.439941
-0.617187;0.561035;-0.174316
-0.673828;0.659668;-0.042480
-0.774414;0.633301;-0.295898
-0.668945;0.619141;-0.187500
-0.741699;0.649902;-0.198242
-0.684570;0.646484;-0.181641
-0.666992;0.574219;-0.224121
-0.642578;0.558594;-0.139648
-0.641602;0.586914;-0.196289
-0.539551;0.562500;-0.089355
-0.582520;0.686035;-0.183105
-0.761230;0.752930;-0.046875
-0.738281;0.917969;-0.153320
-0.606445;0.704102;-0.004883
-0.516113;0.588379;0.031738
-0.537598;0.652344;-0.053223
-0.666504;0.892578;-0.266602
-0.558594;0.981445;-0.202637
-0.547852;0.843750;0.036621
-0.502441;0.740723;-0.102539
-0.478027;0.833008;-0.281250
-0.479492;0.882324;-0.183594
-0.496094;1.000488;-0.018555
-0.535156;0.926270;0.013672
-0.530762;0.809570;-0.054687
-0.373535;0.846680;0.041504
-0.388672;0.847656;0.072266
-0.452148;0.858398;0.075684
-0.348145;0.860352;0.195312
-0.325684;0.889160;0.177734
-0.395508;0.826660;0.165527
