AccelerationX;AccelerationY;AccelerationZ
-0.946777;-0.174316;0.140137
-0.893555;-0.219238;0.150391
-0.905273;-0.216309;0.171875
-0.915527;-0.239746;0.164551
-0.962402;-0.142578;0.156250
-0.930176;-0.187988;0.203613
-0.911133;-0.230469;0.217285
-0.901367;-0.224609;0.197266
-0.883301;-0.239746;0.214355
-0.935059;-0.241211;0.269043
-0.885742;-0.285645;0.167480
-0.848633;-0.224121;0.274414
-0.888672;-0.230957;0.296387
-0.859375;-0.251465;0.281738
-0.838867;-0.272949;0.361328
-0.875977;-0.262695;0.418945
-0.883789;-0.270020;0.273438
-0.864258;-0.252441;0.329590
-0.811523;-0.266113;0.422852
-0.808105;-0.330078;0.351563
-0.830566;-0.364258;0.384277
-0.804199;-0.368652;0.451660
-0.778809;-0.375488;0.474609
-0.750000;-0.331543;0.494141
-0.725586;-0.308594;0.553223
-0.631836;-0.319824;0.580566
-0.622559;-0.294434;0.681152
-0.590332;-0.289551;0.742187
-0.504395;-0.254395;0.771973
-0.465820;-0.242188;0.801758
-0.427246;-0.214844;0.794434
-0.349121;-0.273926;0.787598
-0.387695;-0.341309;0.836426
-0.329102;-0.261230;0.930664
-0.242676;-0.180176;0.958008
-0.072754;-0.243164;0.970215
-0.069336;-0.204102;1.014648
-0.040039;-0.173828;1.098145
0.110352;-0.131836;1.085449
0.120117;-0.062500;0.905273
-0.062988;-0.020996;0.992187
0.029785;0.119141;0.968262
-0.118164;0.247559;1.029785
-0.122559;0.110352;0.939453
-0.246094;0.466797;0.904297
-0.218750;0.345703;0.876465
-0.094727;0.375977;0.798828
-0.299805;0.369629;0.890625
-0.193359;0.366211;0.939453
-0.173340;0.341797;0.887695
-0.231934;0.266602;0.882324
-0.212891;0.255859;0.984863
-0.221680;0.255859;0.938965
-0.141602;0.233398;0.929199
-0.086914;0.312988;0.886719
-0.122559;0.499023;0.982910
-0.080078;0.327148;0.979492
0.046875;0.286133;0.973633
0.054687;0.515137;0.837402
0.129883;0.565430;0.478027
0.060059;0.609863;0.472656
-0.051758;0.700684;0.543457
-0.028320;0.584961;0.606445
-0.125488;0.639160;0.669922
-0.229004;0.721680;1.001953
-0.393555;0.695312;1.192383
-0.113770;0.553711;0.885254
-0.225586;0.610352;0.557129
-0.127930;0.566895;0.552734
-0.044922;0.603027;0.826660
-0.083496;0.651855;0.868652
-0.070801;0.634766;0.807129
-0.095703;0.651367;0.655273
-0.076660;0.706543;0.612305
-0.046387;0.744141;0.646484
-0.091797;0.774902;0.644531
-0.115234;0.760254;0.617187
-0.112305;0.773437;0.597168
-0.117676;0.739746;0.625977
-0.118164;0.727539;0.658203
-0.116699;0.735352;0.663086
-0.131348;0.729980;0.648926
-0.099609;0.719238;0.619141
-0.114746;0.728516;0.657715
-0.098145;0.710449;0.654297
-0.092285;0.724121;0.644043
-0.090332;0.718262;0.662109
-0.089844;0.717285;0.666992
-0.090332;0.705566;0.666992
-0.093262;0.706055;0.666016
-0.082520;0.706055;0.667480
-0.085449;0.708496;0.666016
-0.089844;0.708984;0.665039
-0.087891;0.715820;0.656738
-0.078125;0.720703;0.661621
-0.090332;0.706543;0.663086
-0.080566;0.708008;0.668945
-0.070801;0.717285;0.663086
-0.063477;0.715332;0.658691
-0.064941;0.713379;0.664062
-0.075684;0.708496;0.657227
-0.072754;0.709961;0.660645
-0.076660;0.708008;0.671387
-0.073242;0.713867;0.666504
-0.073242;0.710937;0.663086
-0.070801;0.724609;0.657715
-0.074219;0.721191;0.656250
-0.071289;0.727539;0.660156
-0.076660;0.726074;0.653809
-0.076660;0.722656;0.657227
-0.083984;0.733887;0.665527
-0.080566;0.720703;0.667480
-0.075684;0.701172;0.696289
-0.079590;0.704590;0.698730
-0.076660;0.692383;0.671387
-0.065430;0.681641;0.707520
-0.056152;0.678711;0.711914
-0.054687;0.657227;0.731934
-0.067383;0.645508;0.748047
-0.087402;0.626953;0.789551
-0.074707;0.614746;0.716797
-0.091309;0.578613;0.802246
-0.063965;0.554199;0.836426
-0.070801;0.530762;0.805176
-0.057617;0.500488;0.826660
