AccelerationX;AccelerationY;AccelerationZ
-0.045410;-0.968750;0.066895
-0.033203;-0.977539;0.085449
-0.026367;-0.970215;0.097168
-0.036621;-1.020020;0.041504
-0.014648;-1.056641;0.075195
-0.001465;-1.038574;0.044922
-0.049316;-0.998047;0.077148
-0.035156;-1.000488;0.086426
-0.024414;-1.011719;0.073730
-0.028320;-1.009766;0.085937
-0.035645;-1.002930;0.083496
-0.027344;-1.003906;0.081543
-0.009766;-0.998535;0.070801
-0.030762;-1.029297;0.085937
-0.042480;-1.023438;0.071289
-0.063965;-1.005859;0.073730
-0.040039;-0.985352;0.081543
-0.028320;-0.997070;0.075195
-0.042480;-1.026367;0.078125
-0.020508;-1.006836;0.085449
-0.025879;-1.008301;0.086914
-0.018555;-1.009766;0.085937
-0.009766;-1.000000;0.084473
-0.002930;-1.008301;0.074707
0.005371;-1.011230;0.058105
-0.017090;-1.022949;0.068848
-0.010254;-1.002930;0.077148
-0.014648;-1.007324;0.064453
-0.026855;-1.007324;0.064453
-0.014160;-1.007813;0.047852
-0.019043;-1.018066;0.048340
-0.036621;-1.021973;0.062012
-0.024414;-1.017578;0.053711
-0.017578;-1.015625;0.050293
-0.016113;-1.020508;0.060547
-0.016113;-1.013672;0.066895
-0.015137;-1.013672;0.051758
-0.008301;-0.991699;0.046387
-0.016113;-0.992676;0.061523
-0.028809;-1.015137;0.055176
-0.025879;-1.018066;0.058594
-0.025879;-1.013184;0.052734
-0.019531;-1.013672;0.058594
-0.021973;-1.005371;0.062012
-0.019531;-1.012207;0.059082
-0.020996;-1.012695;0.065430
-0.021973;-1.015137;0.058105
-0.025391;-1.022949;0.063477
-0.018066;-1.002441;0.065430
-0.013184;-1.011719;0.068359
-0.017090;-1.009277;0.066406
-0.021484;-1.006836;0.065918
-0.023437;-1.020508;0.067383
-0.019531;-1.011719;0.057129
-0.016602;-1.017090;0.064941
-0.019043;-1.006348;0.067383
-0.021484;-1.011230;0.073242
-0.015625;-1.010254;0.067871
-0.010742;-1.010742;0.062988
-0.022949;-1.010254;0.076660
-0.018555;-1.013672;0.060547
-0.022949;-1.012207;0.066406
-0.022461;-1.010742;0.065918
-0.019043;-1.012207;0.068848
-0.013672;-1.006348;0.070801
-0.010254;-1.006836;0.066895
-0.021973;-1.016113;0.062500
-0.023926;-1.014160;0.068359
-0.028320;-1.013672;0.063477
-0.012695;-1.004883;0.078125
-0.022461;-1.008789;0.070312
-0.018555;-1.009766;0.073242
-0.014160;-1.007813;0.067871
-0.020508;-1.012207;0.070801
-0.018066;-1.007813;0.062988
-0.021484;-1.015625;0.064941
-0.027344;-1.011719;0.072754
-0.015625;-1.004883;0.068359
-0.023437;-1.015625;0.066406
-0.018555;-1.009766;0.069336
-0.022949;-1.006348;0.076172
-0.024414;-1.010742;0.070801
-0.018066;-1.013184;0.067383
-0.026855;-1.015137;0.061523
-0.016113;-1.009766;0.067871
-0.029785;-1.011719;0.063965
-0.019531;-1.012207;0.071289
-0.020020;-1.010742;0.063477
-0.019043;-1.008789;0.062988
-0.019043;-1.007324;0.067383
-0.026855;-1.016602;0.069336
-0.023437;-1.012207;0.061035
-0.019043;-1.006836;0.065918
-0.029785;-1.013184;0.068848
-0.024902;-1.014160;0.066406
-0.022949;-1.006348;0.067383
-0.020020;-1.006836;0.066406
-0.026855;-1.017578;0.073730
-0.026367;-1.011230;0.061035
-0.016602;-1.006836;0.069824
-0.024902;-1.011230;0.068359
-0.025879;-1.008789;0.072266
-0.023926;-1.010742;0.065918
-0.017578;-1.010254;0.062988
-0.022461;-1.009766;0.071289
-0.026855;-1.013672;0.074219
-0.023926;-1.010742;0.068359
-0.017578;-1.008301;0.064453
-0.021973;-1.013672;0.069824
-0.023437;-1.007324;0.072754
-0.020996;-1.015137;0.070801
-0.023926;-1.015137;0.066895
-0.015137;-1.004395;0.072266
-0.025391;-1.019043;0.056152
-0.020996;-1.013184;0.075684
-0.021973;-1.009766;0.069824
-0.026367;-1.013184;0.070312
-0.019531;-1.011719;0.068848
-0.019043;-1.005371;0.065918
-0.025391;-1.017090;0.062500
-0.022461;-1.008789;0.066406
-0.025391;-1.013184;0.064941
-0.024414;-1.008301;0.065430
-0.023437;-1.008789;0.062988
-0.020996;-1.015137;0.060547
