AccelerationX;AccelerationY;AccelerationZ
-0.170898;-0.996094;0.085937
-0.160645;-0.989258;0.053711
-0.187988;-1.034180;0.041992
-0.174316;-1.024414;0.036621
-0.136719;-0.931152;0.143066
-0.159180;-0.969238;0.131348
-0.157715;-0.998047;0.117676
-0.174805;-0.976562;0.134277
-0.166016;-0.971191;0.119629
-0.167480;-0.975098;0.135742
-0.161621;-0.983887;0.131836
-0.171875;-0.990723;0.127441
-0.158203;-0.983398;0.131348
-0.172852;-0.975586;0.127930
-0.166016;-0.979004;0.123047
-0.156250;-0.979492;0.152344
-0.162109;-1.002441;0.136719
-0.157227;-0.979492;0.132324
-0.161621;-0.980957;0.124023
-0.170410;-0.979492;0.132324
-0.167969;-0.987793;0.128906
-0.164551;-0.973145;0.133301
-0.159668;-0.980469;0.142090
-0.166016;-0.984863;0.137695
-0.160645;-0.979980;0.140625
-0.150391;-0.985352;0.139648
-0.162598;-0.991699;0.129395
-0.162109;-0.984375;0.137207
-0.160156;-0.980957;0.133301
-0.164062;-0.979004;0.135254
-0.160645;-0.987793;0.135254
-0.160156;-0.982910;0.137695
-0.163574;-0.975098;0.132324
-0.156738;-0.980469;0.131348
-0.157227;-0.990234;0.139648
-0.167480;-0.985840;0.131348
-0.166016;-0.976074;0.135742
-0.162109;-0.985840;0.131836
-0.159180;-0.980957;0.142090
-0.162109;-0.982422;0.133301
-0.152832;-0.984863;0.145020
-0.161133;-0.979980;0.135254
-0.158203;-0.983887;0.135742
-0.159180;-0.986328;0.139160
-0.159668;-0.981934;0.134277
-0.157715;-0.983887;0.136230
-0.165039;-0.980469;0.133789
-0.155273;-0.985352;0.129883
-0.164062;-0.986328;0.138184
-0.160156;-0.982910;0.131836
-0.154297;-0.978027;0.135742
-0.150879;-0.979980;0.135742
-0.157227;-0.988281;0.131836
-0.156738;-0.985352;0.132324
-0.152344;-0.981934;0.133301
-0.157227;-0.982910;0.135254
-0.161133;-0.984863;0.140625
-0.160645;-0.988770;0.129395
-0.155273;-0.985840;0.140137
-0.151367;-0.980957;0.140137
-0.160645;-0.980957;0.139648
-0.157227;-0.981445;0.143555
-0.154785;-0.988281;0.136230
-0.160645;-0.979004;0.144043
-0.157715;-0.977539;0.135254
-0.162109;-0.988281;0.143555
-0.147949;-0.981934;0.141113
-0.151855;-0.986328;0.132324
-0.157227;-0.978516;0.141602
-0.151367;-0.984375;0.135254
-0.158691;-0.990234;0.143066
-0.155762;-0.978027;0.135742
-0.157715;-0.981934;0.137207
-0.157715;-0.984863;0.139160
-0.155273;-0.987305;0.137207
-0.153809;-0.975586;0.135254
-0.157227;-0.986328;0.134277
-0.158691;-0.980469;0.138184
-0.159180;-0.981445;0.132324
-0.156738;-0.985840;0.136719
-0.152832;-0.986816;0.140625
-0.153320;-0.983887;0.135742
-0.152832;-0.984863;0.137695
-0.154785;-0.979980;0.138672
-0.151855;-0.982422;0.134277
-0.154297;-0.988770;0.133301
-0.154785;-0.981934;0.136230
-0.157715;-0.983398;0.139160
-0.153320;-0.981445;0.137207
-0.157227;-0.988770;0.131836
-0.152832;-0.985352;0.145508
-0.161133;-0.977051;0.136230
-0.156738;-0.977051;0.144531
-0.154297;-0.988770;0.140137
-0.156738;-0.984863;0.141602
-0.153320;-0.981445;0.137695
-0.156738;-0.981934;0.141602
-0.158203;-0.979492;0.133789
-0.154785;-0.985840;0.131836
-0.157715;-0.989746;0.145996
-0.157715;-0.981934;0.136230
-0.151855;-0.981934;0.142578
-0.154785;-0.983398;0.135254
-0.161133;-0.984863;0.135742
-0.156738;-0.974609;0.136230
-0.156738;-0.986328;0.137207
-0.159180;-0.983887;0.135254
-0.150391;-0.983398;0.138184
-0.154785;-0.980469;0.137695
-0.160645;-0.985840;0.138672
-0.160645;-0.981445;0.139648
-0.160645;-0.983398;0.137207
-0.156250;-0.981934;0.139160
-0.159668;-0.983398;0.139648
-0.162598;-0.979492;0.139160
-0.157715;-0.985840;0.141602
-0.161133;-0.984863;0.134277
-0.162109;-0.978027;0.138184
-0.154785;-0.979492;0.134766
-0.165527;-0.983887;0.138184
-0.155762;-0.985352;0.137207
-0.157715;-0.980957;0.137207
-0.160645;-0.981934;0.137695
-0.158203;-0.981934;0.142578
-0.157227;-0.982910;0.139160
