AccelerationX;AccelerationY;AccelerationZ
-0.278809;-0.923340;0.112793
-0.336426;-0.943359;0.133789
-0.337891;-0.949707;0.145508
-0.312012;-0.995117;0.125977
-0.260742;-0.794922;0.085449
-0.305664;-1.005859;0.162598
-0.315918;-0.957520;0.167969
-0.270020;-0.907715;0.165527
-0.302734;-0.943359;0.178223
-0.291016;-0.922363;0.174316
-0.291016;-0.937012;0.175293
-0.295898;-0.923340;0.179199
-0.302734;-0.935059;0.186035
-0.291504;-0.943359;0.185059
-0.284180;-0.922363;0.183105
-0.301270;-0.943359;0.188965
-0.296387;-0.931152;0.182617
-0.289551;-0.930664;0.187012
-0.304199;-0.930664;0.189941
-0.286621;-0.925293;0.183105
-0.299316;-0.932129;0.188477
-0.301758;-0.935059;0.185059
-0.304199;-0.942383;0.188477
-0.292480;-0.922363;0.186035
-0.301758;-0.924805;0.186035
-0.305664;-0.934082;0.192871
-0.293457;-0.928711;0.182617
-0.311035;-0.937988;0.198730
-0.294434;-0.916992;0.188965
-0.300293;-0.930664;0.196289
-0.307617;-0.933594;0.188477
-0.297852;-0.933594;0.192871
-0.306641;-0.921875;0.197266
-0.294434;-0.937988;0.191895
-0.304688;-0.935059;0.203125
-0.295410;-0.918945;0.192383
-0.316406;-0.930176;0.209961
-0.297363;-0.920898;0.192383
-0.301270;-0.936523;0.210449
-0.297852;-0.920410;0.199219
-0.306641;-0.926270;0.210937
-0.293945;-0.927246;0.195801
-0.312012;-0.924805;0.215332
-0.300293;-0.917480;0.208008
-0.302246;-0.933105;0.210449
-0.298340;-0.930176;0.205078
-0.306152;-0.918457;0.207520
-0.303711;-0.923340;0.209473
-0.304199;-0.927246;0.212891
-0.303711;-0.923340;0.210937
-0.302246;-0.918457;0.211914
-0.303223;-0.926758;0.217773
-0.309082;-0.934570;0.217773
-0.311523;-0.922363;0.217773
-0.292480;-0.902832;0.206055
-0.317871;-0.920898;0.221191
-0.305664;-0.913574;0.205566
-0.307617;-0.941406;0.218750
-0.305176;-0.906738;0.212891
-0.306152;-0.919434;0.218262
-0.311523;-0.932617;0.220215
-0.303223;-0.916992;0.220703
-0.304688;-0.914551;0.215332
-0.304199;-0.928223;0.222656
-0.307129;-0.925781;0.220215
-0.302246;-0.917969;0.216309
-0.306641;-0.916992;0.219238
-0.301758;-0.917480;0.212891
-0.306641;-0.929199;0.219727
-0.299316;-0.920898;0.217773
-0.307129;-0.923828;0.221680
-0.305664;-0.922852;0.217773
-0.301758;-0.915039;0.215332
-0.310059;-0.924316;0.213379
-0.303223;-0.922852;0.217773
-0.311035;-0.921387;0.217285
-0.309570;-0.926270;0.210449
-0.300293;-0.921875;0.200195
-0.304199;-0.920898;0.209961
-0.312012;-0.923340;0.207031
-0.305176;-0.929687;0.208008
-0.305664;-0.923340;0.211914
-0.312012;-0.923340;0.209961
-0.305176;-0.923340;0.207031
-0.310059;-0.922852;0.212402
-0.308594;-0.924805;0.205566
-0.310059;-0.924805;0.209473
-0.307129;-0.918457;0.205566
-0.307129;-0.928711;0.205566
-0.307129;-0.925293;0.208496
-0.312500;-0.918945;0.203613
-0.309082;-0.922363;0.201172
-0.306152;-0.920410;0.198242
-0.311035;-0.927734;0.205078
-0.308105;-0.927734;0.201660
-0.302734;-0.924805;0.202148
-0.306641;-0.923340;0.200195
-0.310059;-0.927734;0.203613
-0.305664;-0.923340;0.199219
-0.305664;-0.927246;0.203125
-0.301758;-0.920898;0.197266
-0.309082;-0.924316;0.203125
-0.303223;-0.928711;0.201172
-0.308594;-0.931152;0.206543
-0.299316;-0.919922;0.195312
-0.309082;-0.933105;0.201172
-0.306152;-0.924805;0.194336
-0.298340;-0.924316;0.196777
-0.305664;-0.925293;0.193848
-0.309082;-0.930176;0.203613
-0.307617;-0.920898;0.194824
-0.310059;-0.925781;0.198242
-0.310547;-0.921387;0.202637
-0.302734;-0.927246;0.194336
-0.304688;-0.933594;0.198242
-0.307617;-0.932617;0.195312
-0.312988;-0.919922;0.198730
-0.315430;-0.920898;0.201172
-0.313965;-0.921875;0.200684
-0.303711;-0.920898;0.198242
-0.316895;-0.926270;0.205566
-0.316406;-0.923340;0.204590
-0.305664;-0.927734;0.203613
-0.299805;-0.924316;0.196289
-0.309082;-0.920898;0.200684
