AccelerationX;AccelerationY;AccelerationZ
-0.916504;-0.185059;0.100586
-0.960449;-0.246582;0.102539
-0.934570;-0.251465;-0.000488
-0.892090;-0.242188;-0.001465
-0.955566;-0.216309;0.224121
-0.906738;-0.161133;0.166016
-0.968750;-0.201172;0.113770
-0.899414;-0.177246;0.143555
-0.899414;-0.168457;0.101074
-0.948242;-0.169434;0.126953
-0.918945;-0.160645;0.109863
-0.892090;-0.171875;0.115234
-0.906250;-0.189941;0.138184
-0.926270;-0.174316;0.141113
-0.934082;-0.143555;0.135254
-0.906738;-0.168457;0.125000
-0.972656;-0.166016;0.116211
-0.948730;-0.138672;0.175781
-0.935547;-0.133301;0.141602
-0.936035;-0.142578;0.146973
-0.926758;-0.131348;0.159180
-0.930176;-0.146484;0.152344
-0.926270;-0.122559;0.156738
-0.930176;-0.134766;0.150391
-0.931641;-0.125000;0.164062
-0.904297;-0.129395;0.146973
-0.897949;-0.127930;0.158203
-0.923340;-0.140625;0.137695
-0.989258;-0.187500;0.115723
-0.935059;-0.150391;0.174805
-0.929687;-0.146484;0.147461
-0.910645;-0.141602;0.139160
-0.923340;-0.143066;0.155273
-0.935547;-0.149902;0.149414
-0.935547;-0.143555;0.151367
-0.925781;-0.144531;0.156250
-0.916992;-0.146484;0.157715
-0.928223;-0.154785;0.159668
-0.928223;-0.142090;0.170410
-0.927734;-0.161133;0.164062
-0.912598;-0.136230;0.169434
-0.940918;-0.150391;0.183105
-0.910645;-0.139648;0.183594
-0.916504;-0.143066;0.179687
-0.917969;-0.146484;0.220215
-0.920410;-0.137207;0.176758
-0.925293;-0.140137;0.194336
-0.920898;-0.139648;0.179687
-0.937012;-0.148926;0.153809
-0.898437;-0.145996;0.179199
-0.931152;-0.153320;0.174316
-0.935547;-0.141602;0.184082
-0.918457;-0.144043;0.178223
-0.933594;-0.159180;0.168457
-0.915527;-0.134766;0.169434
-0.924805;-0.161133;0.170898
-0.931641;-0.153809;0.180664
-0.923828;-0.142578;0.169922
-0.926270;-0.151367;0.190918
-0.918457;-0.153320;0.163574
-0.921387;-0.147949;0.176758
-0.930176;-0.143555;0.194824
-0.919434;-0.157715;0.165039
-0.919434;-0.146973;0.183594
-0.924316;-0.140625;0.183594
-0.919922;-0.157227;0.168945
-0.927246;-0.150879;0.189453
-0.917969;-0.149414;0.181152
-0.931641;-0.148437;0.171387
-0.915527;-0.147949;0.181152
-0.919922;-0.144043;0.186035
-0.928223;-0.152344;0.184082
-0.912598;-0.155273;0.181152
-0.930664;-0.155762;0.183105
-0.918945;-0.151367;0.178223
-0.916992;-0.143066;0.185547
-0.930176;-0.159180;0.182129
-0.926270;-0.147949;0.189941
-0.917969;-0.147461;0.181641
-0.927246;-0.148926;0.190918
-0.918945;-0.153320;0.180664
-0.920410;-0.141113;0.196777
-0.924805;-0.158691;0.188477
-0.924805;-0.146484;0.188965
-0.918457;-0.147461;0.189453
-0.913574;-0.144531;0.190430
-0.919922;-0.156738;0.187988
-0.924805;-0.151855;0.198242
-0.916016;-0.152832;0.186035
-0.919922;-0.156738;0.194824
-0.923340;-0.154785;0.191406
-0.917969;-0.149414;0.193359
-0.917480;-0.158203;0.190430
-0.923340;-0.152832;0.197754
-0.917480;-0.160645;0.194336
-0.921387;-0.154785;0.202148
-0.921387;-0.156250;0.189453
-0.918945;-0.163086;0.191406
-0.916504;-0.145996;0.200195
-0.928223;-0.162109;0.188965
-0.913086;-0.152832;0.201660
-0.923340;-0.146973;0.198730
-0.916992;-0.161133;0.190918
-0.918945;-0.150879;0.200195
-0.918945;-0.155273;0.191895
-0.923340;-0.152344;0.193848
-0.911621;-0.154297;0.198242
-0.924316;-0.147949;0.202148
-0.924316;-0.150879;0.189941
-0.914062;-0.155273;0.194824
-0.925781;-0.146973;0.196777
-0.914551;-0.152832;0.186523
-0.917969;-0.147461;0.202637
-0.925293;-0.146973;0.188965
-0.920410;-0.153809;0.187500
-0.922852;-0.154785;0.194824
-0.916992;-0.139648;0.193848
-0.918457;-0.150391;0.189941
-0.917480;-0.154297;0.191895
-0.930176;-0.150391;0.195312
-0.915039;-0.150391;0.187988
-0.920410;-0.148437;0.187988
-0.923828;-0.146973;0.193848
-0.921875;-0.156250;0.190430
-0.918945;-0.145020;0.187500
