AccelerationX;AccelerationY;AccelerationZ
0.036133;-1.012695;0.074707
0.029785;-0.971680;0.113281
0.018555;-1.001953;0.086914
0.026367;-1.053223;0.119629
0.069824;-0.992676;0.024902
0.074219;-1.019043;0.043457
0.053711;-0.997559;0.088867
0.052246;-1.032227;0.077637
0.066406;-1.005371;0.093262
0.085449;-1.005859;0.078125
0.034668;-1.001953;0.113281
0.006348;-1.003418;0.229004
0.054687;-1.006836;0.126465
0.083984;-1.025879;0.085937
0.063477;-1.012207;0.073730
0.057129;-1.011230;0.130371
0.036621;-1.033203;0.104492
0.053711;-1.041016;0.053223
0.044434;-0.986816;0.144531
0.083008;-0.993652;0.071289
0.026855;-1.044434;0.135254
0.052246;-1.031250;0.098633
0.166504;-0.975586;0.104004
0.127930;-1.019531;0.202148
0.129883;-0.925293;0.113770
0.141602;-0.979004;0.151367
0.148926;-0.905273;0.164551
0.110352;-0.924805;0.244141
0.082031;-0.914551;0.266602
0.103516;-0.881836;0.156250
0.091309;-0.689453;0.268555
0.116699;-0.894531;0.179687
0.105957;-0.797363;0.216797
0.117676;-0.878418;0.295898
-0.004883;-0.783203;0.328613
-0.040039;-0.832519;0.248535
0.092285;-1.050293;0.339844
0.149902;-0.792480;0.283691
0.064453;-0.837891;0.289063
-0.008789;-1.024902;0.369629
0.143066;-0.893555;0.304199
0.241211;-0.801270;0.357910
0.070801;-0.956055;0.412598
0.099121;-0.874023;0.443359
0.188477;-0.809570;0.470703
0.056641;-0.816895;0.476074
-0.000977;-0.889648;0.483398
0.150391;-0.855957;0.590332
0.036133;-0.924316;0.766113
-0.005371;-0.863770;0.716309
-0.014160;-0.728027;0.703613
-0.029785;-0.638672;0.811035
-0.000977;-0.553711;0.851074
0.016602;-0.511719;0.945801
-0.121094;-0.439941;0.941894
-0.221191;-0.367188;1.210938
-0.129883;-0.385254;1.343750
-0.077637;-0.464844;1.482422
-0.066895;-0.303223;1.363770
-0.032715;-0.175781;1.031738
-0.041504;0.008301;0.781250
-0.058105;0.102539;0.704102
-0.081543;0.147949;0.841309
-0.158691;0.115723;0.968262
-0.122070;0.016113;0.998047
-0.177734;0.013672;0.967773
-0.225098;-0.055176;0.947754
-0.223145;-0.000977;0.914551
-0.376465;0.045410;0.931641
-0.407227;0.060547;0.930176
-0.420410;0.021973;0.917480
-0.505371;-0.013184;0.940430
-0.445801;-0.051758;0.788086
-0.503418;-0.131836;0.862305
-0.456543;-0.151855;0.803711
-0.538574;-0.191406;0.851563
-0.573242;-0.136719;0.857422
-0.551270;-0.169434;0.740723
-0.572754;-0.234375;0.828125
-0.523926;-0.199707;0.730957
-0.571777;-0.260254;0.723145
-0.623047;-0.291504;0.725098
-0.619629;-0.300293;0.709473
-0.627441;-0.382813;0.669922
-0.600098;-0.366211;0.666016
-0.621094;-0.370605;0.635254
-0.655273;-0.403320;0.662598
-0.635254;-0.398438;0.641113
-0.604004;-0.399414;0.638184
-0.596191;-0.416504;0.639648
-0.562012;-0.458008;0.625000
-0.553223;-0.486328;0.614258
-0.573242;-0.542969;0.611816
-0.583008;-0.559570;0.602051
-0.543457;-0.557617;0.578613
-0.493652;-0.587891;0.562012
-0.470703;-0.627441;0.547363
-0.475098;-0.645996;0.534668
-0.496582;-0.643555;0.523437
-0.505859;-0.681152;0.514160
-0.492676;-0.689941;0.504883
-0.513672;-0.698242;0.511230
-0.541992;-0.684082;0.506348
-0.522949;-0.667969;0.493652
-0.492676;-0.666992;0.508789
-0.480469;-0.678711;0.507324
-0.458984;-0.694336;0.515625
-0.425293;-0.707520;0.510742
-0.456543;-0.725098;0.509277
-0.449219;-0.695312;0.499023
-0.448730;-0.703613;0.512207
-0.466309;-0.690430;0.505371
-0.461426;-0.702148;0.502441
-0.437988;-0.705566;0.495605
-0.451660;-0.728027;0.497070
-0.442871;-0.713379;0.501953
-0.460449;-0.700195;0.495117
-0.450684;-0.703613;0.502441
-0.448730;-0.702148;0.510254
-0.442383;-0.721191;0.513184
-0.437500;-0.722656;0.507324
-0.440430;-0.713379;0.499512
-0.462402;-0.710937;0.500000
-0.469727;-0.707520;0.492676
-0.456055;-0.703613;0.503906
