AccelerationX;AccelerationY;AccelerationZ
-0.068359;-1.064453;0.010742
-0.073242;-0.993164;0.035156
-0.156738;-0.993652;0.081055
-0.174805;-0.996094;0.181641
-0.069824;-1.082520;0.062012
-0.056152;-1.001465;0.068359
-0.040527;-0.991211;0.046387
-0.053223;-0.974121;0.016113
-0.076172;-0.960938;-0.003418
-0.090820;-0.937012;0.059082
-0.038574;-0.875488;0.093750
-0.012695;-0.931641;0.142578
-0.070312;-0.962402;0.122559
-0.074219;-0.934570;0.161133
-0.021484;-1.018066;0.059082
0.026367;-0.924316;-0.041992
-0.057129;-1.012207;0.221680
-0.048340;-0.790039;0.221680
0.049805;-0.898437;0.234863
0.110352;-0.872070;0.127930
0.065918;-0.965820;0.181152
-0.029297;-0.966309;0.227539
-0.062500;-0.913574;0.225098
-0.080078;-0.914062;0.220703
-0.026855;-0.869629;0.199219
0.049316;-0.960938;0.331543
0.034668;-0.940918;0.272949
-0.035156;-0.960938;0.285645
-0.010254;-1.026367;0.271484
0.032227;-1.072266;0.334473
0.067383;-1.078125;0.433594
0.063477;-1.007813;0.292969
0.119141;-0.977051;0.430176
0.107910;-1.009277;0.382324
0.131836;-1.029785;0.459473
0.115723;-0.999023;0.476563
0.119629;-1.012695;0.448730
0.152344;-0.943359;0.458008
0.129883;-0.981934;0.486816
0.146484;-0.943359;0.501953
0.152832;-0.921875;0.529785
0.148926;-0.891113;0.530273
0.194824;-0.875000;0.563477
0.212402;-0.854004;0.559082
0.208496;-0.932129;0.652832
0.176270;-0.855469;0.554199
0.256836;-0.814941;0.585449
0.230957;-0.792480;0.549316
0.210937;-0.888672;0.538086
0.187012;-0.816406;0.531738
0.180664;-0.806152;0.537109
0.191895;-0.785156;0.532715
0.190918;-0.832519;0.537598
0.160645;-0.849609;0.562500
0.189453;-0.829102;0.569336
0.197266;-0.837891;0.594727
0.219238;-0.779297;0.593262
0.209473;-0.792969;0.568848
0.195801;-0.790527;0.592285
0.199707;-0.763672;0.580566
0.203613;-0.797852;0.603516
0.234863;-0.771973;0.609375
0.240723;-0.784180;0.598633
0.219238;-0.795898;0.598633
0.254395;-0.776367;0.604492
0.257324;-0.801270;0.577637
0.257813;-0.778809;0.586914
0.256348;-0.782715;0.572754
0.266113;-0.778320;0.573730
0.293945;-0.796387;0.591797
0.272461;-0.799805;0.597168
0.259277;-0.812012;0.588379
0.270020;-0.790039;0.574707
0.268066;-0.764648;0.570312
0.264160;-0.791992;0.570312
0.262695;-0.792480;0.569824
0.262207;-0.778320;0.592773
0.264648;-0.798340;0.590332
0.255371;-0.781738;0.597168
0.269043;-0.796875;0.576660
0.243652;-0.771484;0.591309
0.275391;-0.788574;0.574707
0.270020;-0.790039;0.595703
0.272461;-0.787598;0.582520
0.277344;-0.803223;0.569824
0.267090;-0.779785;0.579102
0.270996;-0.785156;0.589844
0.279297;-0.790039;0.576660
0.257324;-0.774902;0.596191
0.259277;-0.793945;0.582520
0.276855;-0.790039;0.587402
0.255859;-0.784180;0.587891
0.282227;-0.790039;0.579102
0.284668;-0.783691;0.576660
0.266113;-0.770508;0.593262
0.270508;-0.764160;0.589355
0.276855;-0.773437;0.595215
0.255859;-0.774902;0.595703
0.252930;-0.773926;0.606445
0.252441;-0.768555;0.611328
0.258301;-0.776367;0.595703
0.255859;-0.786133;0.594727
0.257324;-0.778320;0.593262
0.268555;-0.784668;0.585449
0.262207;-0.783691;0.583984
0.272461;-0.785156;0.579590
0.267578;-0.790527;0.587402
0.272461;-0.780273;0.580078
0.277832;-0.782227;0.595215
0.272949;-0.771973;0.590332
0.264648;-0.773926;0.591797
0.271973;-0.783691;0.583984
0.256836;-0.785156;0.578125
0.265137;-0.785645;0.611816
0.259766;-0.780273;0.589844
0.266113;-0.783203;0.593262
0.265625;-0.781738;0.595703
0.266113;-0.780273;0.598145
0.256836;-0.784180;0.601562
0.265137;-0.789551;0.607910
0.263672;-0.779785;0.596191
0.261719;-0.777832;0.598633
0.256348;-0.763184;0.587402
0.259766;-0.774902;0.599609
0.253906;-0.770508;0.623047
