AccelerationX;AccelerationY;AccelerationZ
-0.076172;-0.996094;0.081543
-0.064941;-1.017578;0.100586
-0.043457;-0.995605;0.113281
-0.030273;-1.081055;0.027832
-0.048828;-1.007324;0.125000
-0.057617;-1.014160;0.098633
-0.018066;-1.036133;0.052246
0.003418;-1.039551;0.059082
0.068848;-1.020996;0.081543
0.062012;-1.065918;0.035645
0.096680;-0.994141;0.059570
0.171387;-0.958984;0.114746
0.141602;-0.971680;0.188965
0.138672;-0.986816;0.221680
0.164062;-1.049805;0.163086
0.136230;-0.930176;0.101563
0.113281;-0.900391;0.223145
0.110352;-0.920410;0.239746
0.144043;-0.931152;0.212402
0.150391;-0.961426;0.206543
0.109863;-0.980957;0.257324
0.056152;-0.986328;0.272461
0.019043;-1.013672;0.255859
0.157227;-1.240234;0.149902
0.136719;-1.186523;-0.105469
0.034668;-0.910645;-0.164551
0.020020;-1.001953;-0.021484
-0.010254;-1.041504;0.049316
-0.061035;-1.045898;-0.067871
-0.045410;-1.044922;-0.050293
-0.075684;-0.961426;-0.042480
-0.058594;-0.991211;-0.018555
-0.037598;-1.019531;0.027832
-0.047363;-1.048340;0.011230
-0.036621;-1.041504;-0.043945
-0.067383;-1.030273;-0.075684
-0.103027;-1.060547;-0.101563
-0.047852;-1.055664;-0.083496
0.058105;-1.024414;-0.043945
0.124512;-0.971191;0.024902
0.163086;-1.001465;0.079590
0.148926;-0.965332;0.142578
0.019043;-1.014648;0.145020
-0.001953;-0.990234;0.147461
0.008301;-0.989746;0.179199
0.066895;-0.973633;0.188965
0.116699;-1.006836;0.096680
0.140625;-1.049805;0.096191
-0.000977;-0.894531;0.190430
-0.069336;-0.859375;0.249512
-0.147949;-1.128418;0.169434
-0.131836;-1.073730;0.082031
-0.104492;-1.006836;0.032715
-0.124512;-0.971680;0.000977
-0.233398;-1.140625;-0.078613
-0.173828;-1.024902;-0.162598
-0.124512;-0.874512;-0.085449
-0.151367;-0.920410;-0.067383
-0.222168;-0.984863;-0.030273
-0.240723;-0.995117;-0.033691
-0.255859;-1.028320;-0.050781
-0.245117;-0.990723;-0.019043
-0.240723;-0.940918;0.064453
-0.253906;-0.953613;0.062988
-0.255859;-0.949707;0.082031
-0.249023;-0.989746;0.048340
-0.248047;-1.001465;0.084961
-0.227539;-1.002441;0.044434
-0.192871;-0.972168;0.035645
-0.232910;-1.062012;-0.020996
-0.231445;-1.150391;-0.211914
-0.187012;-0.966797;-0.012695
-0.266113;-0.939941;0.160156
-0.177246;-1.063965;-0.025879
-0.119141;-1.076660;0.013672
-0.118652;-0.993652;0.079102
-0.134766;-0.879395;0.068359
-0.137207;-0.913086;0.033203
-0.151855;-0.975586;0.056641
-0.134766;-0.948242;0.066406
-0.133789;-0.934570;0.082520
-0.073730;-0.989258;0.107910
-0.089355;-0.988770;0.254395
-0.064453;-0.886719;0.133301
-0.110352;-0.990723;-0.045898
-0.198730;-1.005859;-0.036621
-0.290039;-1.056152;-0.118164
-0.399414;-1.150879;-0.196777
-0.454590;-1.044434;-0.148437
-0.416504;-0.889160;0.014648
-0.250488;-0.780273;-0.046875
-0.291016;-0.900879;-0.025879
-0.394043;-0.936035;0.053223
-0.423828;-0.913086;-0.016602
-0.400879;-0.930664;-0.058105
-0.375488;-0.960449;-0.001953
-0.375000;-0.936035;-0.022461
-0.389648;-0.925781;-0.036133
-0.395020;-0.923828;-0.052246
-0.391602;-0.907715;-0.083984
-0.395020;-0.949219;-0.137207
-0.416016;-0.944336;-0.132812
-0.395020;-0.919922;-0.093262
-0.361328;-0.902344;-0.078125
-0.249512;-0.972656;-0.049316
-0.173340;-1.025391;-0.039063
-0.200195;-1.115234;0.075195
-0.120117;-1.057129;0.140137
-0.076660;-1.032227;0.146973
-0.032227;-1.086914;0.106934
0.053223;-1.087402;0.109375
0.082031;-1.012207;0.211914
0.062012;-0.936523;0.164551
0.079102;-0.938965;0.116211
0.081055;-0.944336;0.130859
0.024902;-0.926270;0.195312
-0.058105;-0.956055;0.254883
-0.071777;-0.944336;0.263672
-0.025879;-0.921387;0.287109
-0.001465;-0.906738;0.327148
-0.006348;-0.940918;0.313965
-0.041504;-0.996582;0.342285
0.001465;-1.018066;0.275879
0.006348;-1.079102;0.217285
-0.001465;-1.119629;0.162109
