AccelerationX;AccelerationY;AccelerationZ
-0.080078;-0.954102;0.087891
-0.097168;-0.944336;0.087891
-0.163574;-0.989258;0.244629
-0.026855;-1.003418;-0.070312
-0.064941;-1.044922;0.082520
-0.039551;-0.994141;0.127441
-0.089844;-1.051270;0.093750
-0.061035;-1.008789;0.077148
-0.053711;-0.969238;0.071777
-0.006836;-0.975098;0.090332
-0.076660;-0.990234;0.105957
-0.099121;-1.026367;0.074707
-0.049805;-1.014648;0.059082
0.003418;-0.992676;0.084473
0.043457;-0.977051;0.036621
-0.030762;-0.947266;0.052246
-0.023437;-1.049805;0.051270
-0.022461;-1.120605;-0.007813
-0.047852;-1.139160;0.027832
-0.031738;-1.108887;-0.003418
-0.045898;-1.050781;0.055664
-0.141602;-1.170410;-0.027344
-0.083008;-1.153809;0.088379
-0.286133;-0.963379;0.074707
-0.213379;-0.858398;0.150879
-0.203125;-0.956055;0.191895
-0.203125;-0.980469;0.209961
-0.133301;-0.912109;0.163574
-0.103027;-0.907227;0.156738
-0.083496;-1.053711;0.234863
-0.048828;-0.927246;0.172363
-0.067383;-0.928711;0.153809
-0.100098;-0.930664;0.298828
-0.047363;-0.916992;0.258301
-0.034668;-0.890625;0.196289
-0.022949;-0.882812;0.200195
-0.061035;-0.937988;0.265137
0.006348;-0.888184;0.222168
-0.035645;-0.904785;0.200684
-0.213379;-0.995605;0.189453
-0.399414;-1.117676;0.146973
-0.382324;-1.164551;0.012695
-0.272949;-0.994141;0.050293
-0.219238;-1.051758;0.059570
-0.118164;-1.059082;0.047852
-0.150391;-1.018066;0.067871
-0.196289;-0.915039;0.133301
-0.255371;-0.975098;0.106934
-0.181152;-0.967285;0.101074
-0.195312;-0.950684;0.078125
-0.287598;-0.979004;0.073242
-0.246582;-1.035156;0.337891
-0.135742;-1.017090;0.337891
-0.119141;-1.009277;0.239746
-0.073730;-0.951172;0.289551
0.010742;-0.784180;0.288574
-0.001465;-0.830566;0.356934
-0.004395;-0.822754;0.445801
-0.021484;-0.899414;0.480957
-0.048828;-0.943359;0.449219
-0.070312;-0.955566;0.437988
-0.123535;-0.952148;0.441406
-0.265625;-1.045898;0.219727
-0.324707;-1.145996;0.181641
-0.170898;-0.936035;0.134766
-0.210937;-0.940918;0.090332
-0.225098;-0.908203;0.071289
-0.147949;-1.022949;0.089844
-0.129883;-1.032715;0.107910
-0.201172;-0.927246;0.098633
-0.168457;-0.906738;0.041992
-0.147461;-0.990723;0.117676
-0.095703;-0.996582;0.136230
-0.087402;-0.994141;0.157227
-0.101074;-0.999512;0.173828
-0.063477;-1.006348;0.166016
-0.098145;-1.033691;0.175293
-0.132324;-1.018066;0.174316
-0.140625;-0.982422;0.175781
-0.105469;-0.981445;0.075195
-0.229004;-1.054688;0.093262
-0.280762;-1.135254;0.170410
-0.305176;-1.025879;0.237305
-0.137207;-0.892090;0.218262
-0.004395;-0.838379;0.315430
-0.098145;-0.924805;0.200195
-0.245605;-1.074707;0.193359
-0.133301;-0.882324;0.345703
-0.139648;-0.877441;0.375488
-0.112305;-0.881348;0.391113
-0.108398;-0.880859;0.379395
-0.145996;-0.854492;0.382813
-0.149902;-0.841309;0.443359
-0.103027;-0.849121;0.448242
-0.041016;-0.892090;0.440918
-0.048340;-0.887207;0.444824
-0.036133;-0.895996;0.441406
-0.059570;-0.940430;0.432129
-0.126953;-1.037598;0.381348
-0.161621;-1.116699;0.410645
-0.164062;-1.023438;0.366699
-0.026367;-0.867676;0.306641
-0.041504;-0.892090;0.213867
-0.038086;-0.976074;0.054687
-0.062012;-1.053711;-0.007324
-0.105469;-1.062012;0.038086
-0.015137;-1.042480;0.049316
0.023926;-1.041504;0.048340
0.036621;-0.992187;0.119141
0.025879;-0.933105;0.098145
-0.038086;-1.005859;0.085449
0.005371;-1.028320;0.110352
-0.009766;-1.040039;0.163574
-0.012207;-1.017090;0.123047
-0.030273;-1.015137;0.158691
-0.031738;-1.022949;0.103027
-0.097168;-1.103516;0.084473
-0.129883;-1.072266;0.088379
-0.122559;-0.900879;0.222168
-0.060547;-0.958008;0.256836
-0.052246;-1.004395;0.220703
-0.020020;-0.934570;0.263184
-0.047363;-0.897461;0.239258
-0.080566;-0.882812;0.244629
-0.074219;-0.939453;0.176758
