AccelerationX;AccelerationY;AccelerationZ
-0.918457;-0.259766;-0.038086
-0.912109;-0.287109;0.011719
-0.924316;-0.201660;0.091797
-0.910645;-0.218262;-0.064941
-0.987793;-0.288574;0.012207
-0.917480;-0.171387;-0.003906
-0.889648;-0.225098;0.039551
-0.888184;-0.242676;0.067383
-0.930664;-0.194824;0.062988
-0.933594;-0.139160;0.073242
-0.935547;-0.166016;-0.006348
-0.938477;-0.165527;0.032715
-0.948242;-0.171387;0.062012
-0.928223;-0.185547;0.091309
-0.910645;-0.181641;0.078125
-0.904297;-0.167969;0.094727
-0.922363;-0.158203;0.129883
-0.981445;-0.144043;0.133301
-0.980957;-0.138184;0.095703
-0.971680;-0.114258;0.061523
-0.962402;-0.118652;-0.033203
-0.926758;-0.063965;-0.105957
-0.973633;-0.037598;-0.130371
-1.044434;0.015625;-0.096191
-0.965332;0.019531;-0.130371
-0.875000;-0.030273;-0.145508
-0.887207;-0.004883;-0.127441
-0.947754;-0.015137;-0.108398
-0.989258;-0.011719;-0.052734
-0.942871;-0.033691;-0.041016
-0.960449;-0.052734;-0.126465
-0.916504;0.002930;-0.123535
-0.973633;0.053223;-0.021973
-0.979980;0.035645;-0.034668
-0.956543;-0.000977;-0.033203
-0.946777;0.013184;-0.039551
-0.979980;-0.038086;-0.079102
-0.953125;-0.048828;-0.062988
-1.051758;-0.043945;-0.084473
-1.097168;-0.054687;-0.079102
-1.001953;-0.114746;-0.230957
-0.822754;-0.149902;-0.068848
-0.842285;-0.194824;-0.180664
-1.010254;-0.121094;-0.004395
-1.020508;-0.171875;-0.041016
-0.890137;-0.131348;-0.035645
-0.853027;-0.139160;-0.109863
-0.889648;-0.176270;-0.024902
-0.910645;-0.132324;0.023926
-0.929687;-0.136230;-0.010254
-0.900879;-0.179687;-0.062988
-0.923828;-0.145020;-0.016602
-0.931641;-0.126953;-0.051758
-0.963867;-0.147949;-0.144531
-1.007813;-0.118652;-0.250488
-0.987305;-0.048340;-0.252930
-0.939453;-0.045898;-0.213867
-0.948730;-0.071289;-0.069824
-0.980957;-0.012207;-0.125000
-0.918945;0.021973;-0.294922
-0.897949;0.075195;-0.169922
-0.948730;0.013672;-0.111816
-0.977051;0.027832;-0.147461
-0.941894;0.048828;-0.222168
-0.959473;0.042480;-0.242676
-0.964356;0.035156;-0.205078
-0.940430;0.005371;-0.177734
-0.965332;-0.013184;-0.157227
-0.897461;-0.040039;-0.122070
-0.936523;-0.016113;-0.175293
-0.919922;-0.000977;-0.164062
-0.998047;-0.030762;-0.131836
-1.058105;-0.033203;-0.094727
-1.002930;-0.113770;-0.088379
-0.927734;-0.244629;-0.156250
-0.854004;-0.117676;-0.052734
-1.004395;-0.196777;0.060059
-0.946289;-0.241699;0.077148
-0.877930;-0.267090;-0.036621
-0.869629;-0.238770;-0.052734
-0.926270;-0.219238;-0.007813
-0.897949;-0.201172;0.012207
-0.901855;-0.180664;-0.015625
-0.919922;-0.145020;-0.020020
-0.938965;-0.140625;0.017090
-0.916504;-0.159180;0.083008
-0.897949;-0.175293;0.042969
-0.939941;-0.148926;0.000977
-0.959961;-0.147461;0.030762
-1.129883;-0.291992;-0.040039
-0.973145;-0.216309;0.017578
-0.901367;-0.164062;-0.042480
-0.887207;-0.171387;-0.066406
-0.956055;-0.154297;-0.064453
-1.003418;-0.106445;-0.071777
-0.924805;-0.112793;-0.039551
-0.837402;-0.155762;-0.033691
-0.906250;-0.098633;-0.000488
-0.937500;-0.079590;0.000488
-0.954590;-0.102051;-0.018555
-0.932617;-0.099609;-0.005859
-0.947754;-0.133789;-0.061523
-0.989258;-0.140137;-0.076660
-1.047852;-0.080566;-0.103027
-1.086914;-0.106445;-0.119629
-1.025879;-0.178223;-0.076172
-1.000977;-0.188965;-0.058594
-0.891602;-0.223145;-0.114258
-0.785156;-0.300781;-0.115234
-0.859863;-0.328613;0.000488
-0.956055;-0.290039;0.021484
-0.947754;-0.266602;-0.036133
-0.891113;-0.335449;-0.064453
-0.867676;-0.348145;-0.070801
-0.886230;-0.276367;0.008789
-0.912598;-0.230957;0.068359
-0.884277;-0.233887;0.035156
-0.863281;-0.233887;0.056641
-0.889648;-0.228516;0.092773
-0.898437;-0.252930;0.125977
-0.908691;-0.225586;0.161621
-0.989258;-0.214355;0.122559
-1.056641;-0.194336;0.102051
-0.935547;-0.168945;0.066406
-0.869629;-0.172852;-0.065430
