AccelerationX;AccelerationY;AccelerationZ
-1.019531;-0.076660;-0.157715
-1.007324;-0.078613;-0.003906
-1.007813;-0.134277;-0.046387
-0.926758;-0.254883;-0.322266
-0.796875;-0.173340;-0.264648
-0.943848;-0.138184;0.078613
-0.955078;-0.174316;-0.091797
-0.918945;-0.179199;-0.052734
-0.874023;-0.155762;0.002441
-0.927734;-0.171387;-0.115723
-0.956055;-0.204102;-0.041992
-0.937988;-0.177246;-0.028809
-0.893066;-0.139160;-0.023926
-0.934570;-0.106934;0.032715
-0.938965;-0.140625;0.032227
-0.951172;-0.155762;-0.047363
-0.971191;-0.165527;-0.001953
-1.012207;-0.187988;-0.163086
-1.017578;-0.149902;-0.057617
-0.890625;-0.066406;-0.033691
-0.898437;-0.083008;-0.105957
-1.029297;-0.140137;-0.176270
-0.948242;-0.084961;-0.126953
-0.865234;-0.002930;-0.098633
-0.975586;0.009277;-0.156250
-0.952637;-0.009766;-0.161133
-0.960449;0.007324;-0.095703
-0.972168;-0.026855;-0.105957
-0.941406;-0.007813;-0.151367
-0.880859;-0.021973;-0.109863
-0.928223;-0.044922;-0.164062
-0.987793;-0.031250;-0.121582
-0.946777;-0.010254;-0.007813
-0.913086;-0.020996;-0.059082
-0.918457;-0.027832;-0.051758
-0.956543;-0.067871;-0.045410
-0.958008;-0.095215;-0.034180
-1.002930;-0.107910;-0.103027
-0.996094;-0.057617;-0.133789
-1.063965;-0.064941;-0.223633
-1.009277;-0.085937;-0.191895
-0.818848;-0.065918;-0.034180
-0.867676;-0.071289;-0.223633
-0.976562;-0.183594;-0.325684
-0.886230;-0.208008;-0.294434
-0.947266;-0.192383;-0.220703
-0.927734;-0.190918;-0.209473
-0.877441;-0.178223;-0.192383
-0.885254;-0.184082;-0.249512
-0.846191;-0.221680;-0.200195
-0.905762;-0.202148;-0.227539
-0.896973;-0.190430;-0.201172
-0.901855;-0.182129;-0.289063
-0.901367;-0.217285;-0.280762
-0.856934;-0.201172;-0.265137
-0.933594;-0.136719;-0.299805
-1.028809;-0.172363;-0.535645
-0.974121;-0.040527;-0.139648
-0.922363;0.108398;-0.058105
-1.010742;-0.032227;-0.079102
-0.978516;-0.124023;-0.179199
-0.896484;-0.080566;-0.151367
-0.905762;-0.040039;-0.128906
-0.860840;-0.057129;-0.166016
-0.896484;-0.075195;-0.134766
-0.994629;-0.041504;-0.071289
-0.966309;-0.017090;-0.042480
-0.959473;-0.031250;-0.079102
-0.905273;-0.024902;-0.094727
-0.941894;-0.014160;-0.037598
-1.007324;-0.033203;-0.097656
-0.960449;-0.065430;-0.076172
-0.933594;-0.098145;-0.063965
-0.918945;-0.068359;-0.010254
-0.952148;-0.052734;-0.059082
-1.008301;-0.089844;-0.082520
-0.926758;-0.139648;-0.084473
-0.913086;-0.130371;-0.181152
-0.948730;-0.189453;-0.109863
-0.954590;-0.168945;-0.134277
-0.938965;-0.195312;-0.186523
-0.913574;-0.238281;-0.069824
-0.951172;-0.256836;-0.208496
-0.844727;-0.312988;-0.146973
-0.820801;-0.266602;-0.137695
-0.855469;-0.202148;-0.086426
-0.927246;-0.220215;-0.198730
-0.966797;-0.253418;-0.152344
-0.963867;-0.226562;-0.125488
-0.925293;-0.231934;-0.076172
-0.922363;-0.273438;-0.093262
-0.915527;-0.266113;-0.097656
-0.890137;-0.267578;-0.098145
-0.909180;-0.234375;-0.117676
-0.984375;-0.226562;-0.117187
-1.099609;-0.297852;-0.165527
-1.089844;-0.267090;-0.260254
-0.838867;-0.148926;-0.113281
-0.832031;-0.129883;-0.117187
-0.902832;-0.193848;-0.337402
-0.985352;-0.210449;-0.284180
-1.020996;-0.178223;-0.019531
-0.854004;-0.143066;-0.110840
-0.814941;-0.146484;-0.085449
-0.898926;-0.134766;-0.097656
-0.929199;-0.128418;-0.052246
-0.931641;-0.150391;-0.042480
-0.934570;-0.162598;-0.064941
-0.923828;-0.196289;-0.078613
-0.957520;-0.188965;-0.110840
-0.968262;-0.169922;-0.115723
-0.972168;-0.129395;-0.130859
-1.061035;-0.192383;-0.150391
-1.012695;-0.265625;-0.140137
-0.857910;-0.293457;-0.187500
-0.714355;-0.295898;-0.357422
-0.887695;-0.303223;-0.314941
-0.898926;-0.324707;-0.103027
-0.931641;-0.333984;-0.113281
-0.947266;-0.400391;-0.097168
-0.851563;-0.425781;-0.151367
-0.838379;-0.399902;-0.151367
-0.833984;-0.356445;-0.120117
-0.848144;-0.341797;-0.112305
-0.891113;-0.346191;-0.095215
